,sex,Age,County,rate
645,Females,10,Shasta,0.28891891891891897
646,Females,10,Sierra,0.21468468468468474
647,Females,10,Siskiyou,0.32960960960960967
648,Females,10,Solano,0.10495495495495498
649,Females,10,Sonoma,0.16438438438438444
650,Females,10,Stanislaus,0.09939939939939942
651,Females,10,Sutter,0.14033033033033038
652,Females,10,Tehama,0.0676876876876877
653,Females,10,Trinity,0.19990990990990995
654,Females,10,Tulare,0.08864864864864865
655,Females,10,Tuolumne,0.39096096096096095
657,Females,10,Ventura,0.22876876876876887
658,Females,10,Yolo,0.10837837837837837
659,Females,10,Yuba,0.1176576576576577
660,Females,11,Alameda,0.07288288288288289
661,Females,11,Alpine,0.0014414414414414508
662,Females,11,Amador,0.2729129129129129
663,Females,11,Butte,0.19288288288288288
664,Females,11,Calaveras,0.29945945945945945
665,Females,11,California,0.13498498498498496
666,Females,11,Colusa,0.09552552552552551
667,Females,11,Contra Costa,0.11534534534534538
668,Females,11,Del Norte,0.21936936936936943
669,Females,11,El Dorado,0.10825825825825829
670,Females,11,Fresno,0.1671771771771772
671,Females,11,Glenn,0.10273273273273274
672,Females,11,Humboldt,0.46678678678678676
673,Females,11,Imperial,0.16900900900900903
674,Females,11,Inyo,0.21798798798798802
675,Females,11,Kern,0.18870870870870873
676,Females,11,Kings,0.13075075075075074
677,Females,11,Lake,0.6127327327327327
678,Females,11,Lassen,0.4357657657657657
679,Females,11,Los Angeles,0.08204204204204203
680,Females,11,Madera,0.20051051051051055
681,Females,11,Marin,0.11978978978978984
682,Females,11,Mariposa,0.19153153153153157
683,Females,11,Mendocino,0.3414714714714714
684,Females,11,Merced,0.16309309309309308
685,Females,11,Modoc,0.41213213213213207
686,Females,11,Mono,0.05453453453453455
687,Females,11,Monterey,0.10963963963963969
688,Females,11,Napa,0.08675675675675677
689,Females,11,Nevada,0.1620720720720721
690,Females,11,Orange,0.20093093093093098
691,Females,11,Placer,0.0858858858858859
692,Females,11,Plumas,0.5299999999999998
693,Females,11,Riverside,0.14837837837837844
694,Females,11,Sacramento,0.1218618618618619
695,Females,11,San Benito,0.14639639639639643
696,Females,11,San Bernardino,0.07621621621621621
697,Females,11,San Diego,0.20381381381381383
698,Females,11,San Francisco,0.2673873873873875
699,Females,11,San Joaquin,0.21363363363363366
700,Females,11,San Luis Obispo,0.2054954954954955
701,Females,11,San Mateo,0.0789189189189189
702,Females,11,Santa Barbara,0.14531531531531533
703,Females,11,Santa Clara,0.07816816816816818
704,Females,11,Santa Cruz,0.29789789789789795
705,Females,11,Shasta,0.28891891891891897
706,Females,11,Sierra,0.21468468468468474
707,Females,11,Siskiyou,0.32960960960960967
708,Females,11,Solano,0.10495495495495498
709,Females,11,Sonoma,0.16438438438438444
710,Females,11,Stanislaus,0.09939939939939942
711,Females,11,Sutter,0.14033033033033038
712,Females,11,Tehama,0.0676876876876877
713,Females,11,Trinity,0.19990990990990995
714,Females,11,Tulare,0.08864864864864865
715,Females,11,Tuolumne,0.39096096096096095
717,Females,11,Ventura,0.22876876876876887
718,Females,11,Yolo,0.10837837837837837
719,Females,11,Yuba,0.1176576576576577
720,Females,12,Alameda,0.07288288288288289
721,Females,12,Alpine,0.0014414414414414508
722,Females,12,Amador,0.2729129129129129
723,Females,12,Butte,0.19288288288288288
724,Females,12,Calaveras,0.29945945945945945
725,Females,12,California,0.13498498498498496
726,Females,12,Colusa,0.09552552552552551
727,Females,12,Contra Costa,0.11534534534534538
728,Females,12,Del Norte,0.21936936936936943
729,Females,12,El Dorado,0.10825825825825829
730,Females,12,Fresno,0.1671771771771772
731,Females,12,Glenn,0.10273273273273274
732,Females,12,Humboldt,0.46678678678678676
733,Females,12,Imperial,0.16900900900900903
734,Females,12,Inyo,0.21798798798798802
735,Females,12,Kern,0.18870870870870873
736,Females,12,Kings,0.13075075075075074
737,Females,12,Lake,0.6127327327327327
738,Females,12,Lassen,0.4357657657657657
739,Females,12,Los Angeles,0.08204204204204203
740,Females,12,Madera,0.20051051051051055
741,Females,12,Marin,0.11978978978978984
742,Females,12,Mariposa,0.19153153153153157
743,Females,12,Mendocino,0.3414714714714714
744,Females,12,Merced,0.16309309309309308
745,Females,12,Modoc,0.41213213213213207
746,Females,12,Mono,0.05453453453453455
